CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
PROV2310;Larecaja;;;;;;;;;;;;;;;;;;;;;;x;;;;
PROV3386;Ayopayo;;;;;;;;;;;;;;;;;;;;;;x;;;;
PROV3364;Chayanta;;;;;;;;;;;;;;;;;;;;;;x;;;;
PROV3447;Porco;;;;;;;;;;;;;;;;;;;;;;x;;;;
PROV3315;Cinti;;;;;;;;;;;;;;;;;;;;;;x;;;;
PROV3296;Pirai;;;;;;;;;;;;;;;;;;;;;;x;;;;
VNS_dominion;Virreynato de Nueva Espana;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
VNG_dominion;Virreinato de la Nueva Granada;;;;;;;;;;;;;x,
VOP_dominion;Virreinato del Peru;;;;;;;;;;;;;x,
CGC_dominion;Capitania General de Chile;;;;;;;;;;;;;x,
